Sl. No.,ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,Month,Year
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,2.0,3.0,3.0,2.0,JAN,2021
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,2.0,1.0,1.0,2.0,JAN,2021
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,1.0,3.0,3.0,1.0,JAN,2021
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,1.0,1.0,2.0,1.0,JAN,2021
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,1.0,0.0,1.0,1.0,JAN,2021
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,1.0,1.0,1.0,1.0,JAN,2021
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0.0,0.0,0.0,0.0,JAN,2021
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0.0,0.0,0.0,0.0,JAN,2021
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,JAN,2021
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0.0,0.0,0.0,0.0,JAN,2021
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0.0,0.0,0.0,0.0,JAN,2021
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,3.0,0.0,1.0,3.0,JAN,2021
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,0.0,1.0,1.0,0.0,JAN,2021
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,4.0,3.0,3.0,4.0,JAN,2021
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0.0,0.0,0.0,0.0,JAN,2021
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0.0,0.0,0.0,0.0,JAN,2021
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,2.0,2.0,2.0,2.0,JAN,2021
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0.0,0.0,0.0,0.0,JAN,2021
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0.0,0.0,0.0,0.0,JAN,2021
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,1.0,0.0,2.0,1.0,JAN,2021
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,4.0,5.0,6.0,4.0,JAN,2021
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,6.0,7.0,5.0,6.0,JAN,2021
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0.0,0.0,0.0,0.0,JAN,2021
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0.0,0.0,0.0,0.0,JAN,2021
25,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,4.0,4.0,3.0,4.0,JAN,2021
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,6.0,4.0,7.0,6.0,JAN,2021
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,6.0,26.0,5.0,6.0,JAN,2021
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,4.0,2.0,1.0,4.0,JAN,2021
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,8.0,2.0,7.0,8.0,JAN,2021
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0.0,0.0,1.0,0.0,JAN,2021
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,0.0,0.0,0.0,0.0,JAN,2021
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,0.0,0.0,0.0,0.0,JAN,2021
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),1.0,0.0,0.0,1.0,JAN,2021
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0.0,0.0,1.0,0.0,JAN,2021
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,JAN,2021
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,12.0,2.0,7.0,12.0,JAN,2021
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,0.0,0.0,2.0,0.0,JAN,2021
