id,district,crime_type,crime_category,year,crime_count,latitude,longitude,crime_rate,ipc_cases,sll_cases,total_cases,conviction_rate,chargesheet_rate,pendency_rate,police_range,risk_level,source_table
1,Bagalkot,Murder,Violent Crime,2024,22,16.1691,75.6497,98.6,2219,921,3140,36.5,75.3,83.4,Northern Range,Medium,Table 2A.1 - Murder Cases 2022-2024
2,Bagalkot,Kidnapping & Abduction,Violent Crime,2024,55,16.1691,75.6497,98.6,2219,921,3140,36.5,75.3,83.4,Northern Range,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
3,Bagalkot,Crime Against Women,Crime Against Women,2024,340,16.1691,75.6497,98.6,2219,921,3140,36.5,75.3,83.4,Northern Range,Medium,Table 3.1 - Crime against Women (IPC+SLL)
4,Bagalkot,Economic Offence,Financial Crime,2024,139,16.1691,75.6497,98.6,2219,921,3140,36.5,75.3,83.4,Northern Range,Medium,Table 9.1 - Economic Offences (District-wise)
5,Bagalkot,Cyber Crime,Cyber Crime,2024,47,16.1691,75.6497,98.6,2219,921,3140,36.5,75.3,83.4,Northern Range,Medium,Table 10.1 - Cyber Crimes (District-wise)
6,Bagalkot,Missing Persons,Public Safety,2024,47,16.1691,75.6497,98.6,2219,921,3140,36.5,75.3,83.4,Northern Range,Medium,Table 14.1 - Missing and Traced Children (District-wise)
7,Bengaluru City,Murder,Violent Crime,2024,176,12.9716,77.5946,218.3,34715,22840,57555,64.5,63.4,84.3,Commissionerate,High,Table 2A.1 - Murder Cases 2022-2024
8,Bengaluru City,Kidnapping & Abduction,Violent Crime,2024,1215,12.9716,77.5946,218.3,34715,22840,57555,64.5,63.4,84.3,Commissionerate,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
9,Bengaluru City,Crime Against Women,Crime Against Women,2024,4748,12.9716,77.5946,218.3,34715,22840,57555,64.5,63.4,84.3,Commissionerate,High,Table 3.1 - Crime against Women (IPC+SLL)
10,Bengaluru City,Economic Offence,Financial Crime,2024,3477,12.9716,77.5946,218.3,34715,22840,57555,64.5,63.4,84.3,Commissionerate,High,Table 9.1 - Economic Offences (District-wise)
11,Bengaluru City,Cyber Crime,Cyber Crime,2024,17561,12.9716,77.5946,218.3,34715,22840,57555,64.5,63.4,84.3,Commissionerate,High,Table 10.1 - Cyber Crimes (District-wise)
12,Bengaluru City,Missing Persons,Public Safety,2024,442,12.9716,77.5946,218.3,34715,22840,57555,64.5,63.4,84.3,Commissionerate,High,Table 14.1 - Missing and Traced Children (District-wise)
13,Bengaluru District,Murder,Violent Crime,2024,71,13.2846,77.5834,631.1,7636,1607,9243,72.8,70.4,97.2,Central Range,High,Table 2A.1 - Murder Cases 2022-2024
14,Bengaluru District,Kidnapping & Abduction,Violent Crime,2024,316,13.2846,77.5834,631.1,7636,1607,9243,72.8,70.4,97.2,Central Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
15,Bengaluru District,Crime Against Women,Crime Against Women,2024,855,13.2846,77.5834,631.1,7636,1607,9243,72.8,70.4,97.2,Central Range,High,Table 3.1 - Crime against Women (IPC+SLL)
16,Bengaluru District,Economic Offence,Financial Crime,2024,597,13.2846,77.5834,631.1,7636,1607,9243,72.8,70.4,97.2,Central Range,High,Table 9.1 - Economic Offences (District-wise)
17,Bengaluru District,Cyber Crime,Cyber Crime,2024,844,13.2846,77.5834,631.1,7636,1607,9243,72.8,70.4,97.2,Central Range,High,Table 10.1 - Cyber Crimes (District-wise)
18,Bengaluru District,Missing Persons,Public Safety,2024,111,13.2846,77.5834,631.1,7636,1607,9243,72.8,70.4,97.2,Central Range,High,Table 14.1 - Missing and Traced Children (District-wise)
19,Belagavi District,Murder,Violent Crime,2024,71,15.8497,74.4977,155.9,4460,1807,6267,26.1,76.5,80.0,Northern Range,High,Table 2A.1 - Murder Cases 2022-2024
20,Belagavi District,Kidnapping & Abduction,Violent Crime,2024,99,15.8497,74.4977,155.9,4460,1807,6267,26.1,76.5,80.0,Northern Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
21,Belagavi District,Crime Against Women,Crime Against Women,2024,605,15.8497,74.4977,155.9,4460,1807,6267,26.1,76.5,80.0,Northern Range,High,Table 3.1 - Crime against Women (IPC+SLL)
22,Belagavi District,Economic Offence,Financial Crime,2024,163,15.8497,74.4977,155.9,4460,1807,6267,26.1,76.5,80.0,Northern Range,High,Table 9.1 - Economic Offences (District-wise)
23,Belagavi District,Cyber Crime,Cyber Crime,2024,65,15.8497,74.4977,155.9,4460,1807,6267,26.1,76.5,80.0,Northern Range,High,Table 10.1 - Cyber Crimes (District-wise)
24,Belagavi District,Missing Persons,Public Safety,2024,68,15.8497,74.4977,155.9,4460,1807,6267,26.1,76.5,80.0,Northern Range,High,Table 14.1 - Missing and Traced Children (District-wise)
25,Ballari,Murder,Violent Crime,2024,18,15.1394,76.9214,109.1,1997,1387,3384,27.1,84.1,87.6,Ballari Range,Medium,Table 2A.1 - Murder Cases 2022-2024
26,Ballari,Kidnapping & Abduction,Violent Crime,2024,54,15.1394,76.9214,109.1,1997,1387,3384,27.1,84.1,87.6,Ballari Range,Medium,Table 2B.1 - Kidnapping & Abduction (District-wise)
27,Ballari,Crime Against Women,Crime Against Women,2024,319,15.1394,76.9214,109.1,1997,1387,3384,27.1,84.1,87.6,Ballari Range,Medium,Table 3.1 - Crime against Women (IPC+SLL)
28,Ballari,Economic Offence,Financial Crime,2024,113,15.1394,76.9214,109.1,1997,1387,3384,27.1,84.1,87.6,Ballari Range,Medium,Table 9.1 - Economic Offences (District-wise)
29,Ballari,Cyber Crime,Cyber Crime,2024,118,15.1394,76.9214,109.1,1997,1387,3384,27.1,84.1,87.6,Ballari Range,Medium,Table 10.1 - Cyber Crimes (District-wise)
30,Ballari,Missing Persons,Public Safety,2024,17,15.1394,76.9214,109.1,1997,1387,3384,27.1,84.1,87.6,Ballari Range,Medium,Table 14.1 - Missing and Traced Children (District-wise)
31,Bidar,Murder,Violent Crime,2024,31,17.9133,77.5301,148.1,2976,874,3850,31.4,81.2,85.2,Kalaburagi Range,High,Table 2A.1 - Murder Cases 2022-2024
32,Bidar,Kidnapping & Abduction,Violent Crime,2024,74,17.9133,77.5301,148.1,2976,874,3850,31.4,81.2,85.2,Kalaburagi Range,High,Table 2B.1 - Kidnapping & Abduction (District-wise)
33,Bidar,Crime Against Women,Crime Against Women,2024,312,17.9133,77.5301,148.1,2976,874,3850,31.4,81.2,85.2,Kalaburagi Range,High,Table 3.1 - Crime against Women (IPC+SLL)
34,Bidar,Economic Offence,Financial Crime,2024,66,17.9133,77.5301,148.1,2976,874,3850,31.4,81.2,85.2,Kalaburagi Range,High,Table 9.1 - Economic Offences (District-wise)
35,Bidar,Cyber Crime,Cyber Crime,2024,41,17.9133,77.5301,148.1,2976,874,3850,31.4,81.2,85.2,Kalaburagi Range,High,Table 10.1 - Cyber Crimes (District-wise)
